"","Last.Name","week","frequency"
"1","Absent","Week.1..1.7.","0"
"2","Excused","Week.1..1.7.","0"
"3","Present","Week.1..1.7.","84"
"4","Absent","Week.2..1.14.","24"
"5","Excused","Week.2..1.14.","9"
"6","Present","Week.2..1.14.","51"
"7","Absent","Week.3..1.22.","19"
"8","Excused","Week.3..1.22.","9"
"9","Present","Week.3..1.22.","56"
"10","Absent","Week.4..1.28.","19"
"11","Excused","Week.4..1.28.","15"
"12","Present","Week.4..1.28.","50"
"13","Absent","Week.5..2.5.","24"
"14","Excused","Week.5..2.5.","13"
"15","Present","Week.5..2.5.","47"
"16","Absent","Week.6..2.15.","23"
"17","Excused","Week.6..2.15.","7"
"18","Present","Week.6..2.15.","54"
"19","Absent","Week.7..2.18.","25"
"20","Excused","Week.7..2.18.","11"
"21","Present","Week.7..2.18.","48"
"22","Absent","Week.8..2.25.","25"
"23","Excused","Week.8..2.25.","6"
"24","Present","Week.8..2.25.","53"
"25","Absent","Week.9..3.4.","84"
"26","Excused","Week.9..3.4.","0"
"27","Present","Week.9..3.4.","0"
"28","Absent","Week.10..3.11.","84"
"29","Excused","Week.10..3.11.","0"
"30","Present","Week.10..3.11.","0"
